Numero de documentos del corpus: 3888
Numero de palabras del corpus: 338417
Palabra: accessoriesmaterialdurable Frec: 1 LogProb: -12.247749474575263
Palabra: accessorieswithout Frec: 1 LogProb: -12.247749474575263
Palabra: accessory Frec: 103 LogProb: -8.296505755993836
Palabra: accessoryget Frec: 2 LogProb: -11.8422843664671
Palabra: accessoryusa Frec: 1 LogProb: -12.247749474575263
Palabra: accessseparate Frec: 1 LogProb: -12.247749474575263
Palabra: accident Frec: 6 LogProb: -10.994986506079895
Palabra: accidental Frec: 32 LogProb: -9.444389093668729
Palabra: accidentally Frec: 11 LogProb: -10.455990005347209
Palabra: accidents Frec: 18 LogProb: -9.996457675968768
Palabra: acclaimed Frec: 9 LogProb: -10.638311562141164
Palabra: acclimated Frec: 1 LogProb: -12.247749474575263
Palabra: accommodate Frec: 25 LogProb: -9.682800117113727
Palabra: accommodated Frec: 7 LogProb: -10.861455113455373
Palabra: accommodates Frec: 19 LogProb: -9.945164381581218
Palabra: accommodating Frec: 1 LogProb: -12.247749474575263
Palabra: accompanied Frec: 5 LogProb: -11.149137185907154
Palabra: accompanies Frec: 3 LogProb: -11.554602294015318
Palabra: accompaniment Frec: 3 LogProb: -11.554602294015318
Palabra: accompany Frec: 2 LogProb: -11.8422843664671
Palabra: accompanying Frec: 4 LogProb: -11.331458742701109
Palabra: accomplish Frec: 2 LogProb: -11.8422843664671
Palabra: accomplished Frec: 4 LogProb: -11.331458742701109
Palabra: accomplishes Frec: 2 LogProb: -11.8422843664671
Palabra: accomplishing Frec: 3 LogProb: -11.554602294015318
Palabra: accord Frec: 6 LogProb: -10.994986506079895
Palabra: accordance Frec: 7 LogProb: -10.861455113455373
Palabra: according Frec: 38 LogProb: -9.277335009005563
Palabra: accordingly Frec: 9 LogProb: -10.638311562141164
Palabra: account Frec: 3 LogProb: -11.554602294015318
Palabra: accounting Frec: 6 LogProb: -10.994986506079895
Palabra: accounts Frec: 5 LogProb: -11.149137185907154
Palabra: accqcm Frec: 1 LogProb: -12.247749474575263
Palabra: accros Frec: 1 LogProb: -12.247749474575263
Palabra: accucore Frec: 1 LogProb: -12.247749474575263
Palabra: accumulate Frec: 1 LogProb: -12.247749474575263
Palabra: accumulated Frec: 3 LogProb: -11.554602294015318
Palabra: accumulating Frec: 1 LogProb: -12.247749474575263
Palabra: accumulation Frec: 3 LogProb: -11.554602294015318
Palabra: accuracy Frec: 56 LogProb: -8.89784538730066
Palabra: accurate Frec: 70 LogProb: -8.678216778093894
Palabra: accurately Frec: 28 LogProb: -9.573600825148734
Palabra: accustic Frec: 1 LogProb: -12.247749474575263
Palabra: acd Frec: 1 LogProb: -12.247749474575263
Palabra: acdc Frec: 11 LogProb: -10.455990005347209
Palabra: acdts Frec: 1 LogProb: -12.247749474575263
Palabra: acer Frec: 77 LogProb: -8.584187828445618
Palabra: acessory Frec: 1 LogProb: -12.247749474575263
Palabra: acetate Frec: 2 LogProb: -11.8422843664671
Palabra: achap Frec: 1 LogProb: -12.247749474575263
Palabra: acheive Frec: 1 LogProb: -12.247749474575263
Palabra: aches Frec: 1 LogProb: -12.247749474575263
Palabra: achievable Frec: 1 LogProb: -12.247749474575263
Palabra: achieve Frec: 55 LogProb: -8.915544964400059
Palabra: achieved Frec: 6 LogProb: -10.994986506079895
Palabra: achiever Frec: 1 LogProb: -12.247749474575263
Palabra: achieves Frec: 2 LogProb: -11.8422843664671
Palabra: achieving Frec: 1 LogProb: -12.247749474575263
Palabra: aching Frec: 1 LogProb: -12.247749474575263
Palabra: achived Frec: 1 LogProb: -12.247749474575263
Palabra: achomewalltravel Frec: 2 LogProb: -11.8422843664671
Palabra: achromatic Frec: 1 LogProb: -12.247749474575263
Palabra: acid Frec: 10 LogProb: -10.543001382336838
Palabra: acids Frec: 12 LogProb: -10.375947297673672
Palabra: acm Frec: 11 LogProb: -10.455990005347209
Palabra: acmthis Frec: 1 LogProb: -12.247749474575263
Palabra: acn Frec: 1 LogProb: -12.247749474575263
Palabra: acompliant Frec: 1 LogProb: -12.247749474575263
Palabra: acoustic Frec: 18 LogProb: -9.996457675968768
Palabra: acoustical Frec: 2 LogProb: -11.8422843664671
Palabra: acoustically Frec: 1 LogProb: -12.247749474575263
Palabra: acoustics Frec: 17 LogProb: -10.050524897239043
Palabra: acoustik Frec: 3 LogProb: -11.554602294015318
Palabra: acpi Frec: 2 LogProb: -11.8422843664671
Palabra: acquiescent Frec: 1 LogProb: -12.247749474575263
Palabra: acquire Frec: 5 LogProb: -11.149137185907154
Palabra: acquisition Frec: 1 LogProb: -12.247749474575263
Palabra: acrange Frec: 1 LogProb: -12.247749474575263
Palabra: acrobat Frec: 1 LogProb: -12.247749474575263
Palabra: acronis Frec: 1 LogProb: -12.247749474575263
Palabra: acrylic Frec: 20 LogProb: -9.896374217411786
Palabra: acrylonitrile Frec: 1 LogProb: -12.247749474575263
Palabra: act Frec: 6 LogProb: -10.994986506079895
Palabra: actibe Frec: 1 LogProb: -12.247749474575263
Palabra: acting Frec: 2 LogProb: -11.8422843664671
Palabra: action Frec: 160 LogProb: -7.859492290150746
Palabra: actionable Frec: 1 LogProb: -12.247749474575263
Palabra: actionhounds Frec: 2 LogProb: -11.8422843664671
Palabra: actionpacked Frec: 1 LogProb: -12.247749474575263
Palabra: actions Frec: 6 LogProb: -10.994986506079895
Palabra: actionsee Frec: 1 LogProb: -12.247749474575263
Palabra: actionuse Frec: 1 LogProb: -12.247749474575263
Palabra: activate Frec: 11 LogProb: -10.455990005347209
Palabra: activated Frec: 13 LogProb: -10.30183932551995
Palabra: activates Frec: 3 LogProb: -11.554602294015318
Palabra: activating Frec: 2 LogProb: -11.8422843664671
Palabra: activation Frec: 5 LogProb: -11.149137185907154
Palabra: activator Frec: 1 LogProb: -12.247749474575263
Palabra: active Frec: 62 LogProb: -8.797761928743677
Palabra: activepowered Frec: 1 LogProb: -12.247749474575263
Palabra: activities Frec: 41 LogProb: -9.20322703685184
Palabra: activitiesfeatures Frec: 1 LogProb: -12.247749474575263
Palabra: activitiesunique Frec: 1 LogProb: -12.247749474575263
Palabra: activity Frec: 42 LogProb: -9.179696539441647
Palabra: activityeasy Frec: 1 LogProb: -12.247749474575263
Palabra: actman Frec: 3 LogProb: -11.554602294015318
Palabra: actodc Frec: 1 LogProb: -12.247749474575263
Palabra: acts Frec: 9 LogProb: -10.638311562141164
Palabra: actual Frec: 39 LogProb: -9.252017201021273
Palabra: actually Frec: 10 LogProb: -10.543001382336838
Palabra: aculon Frec: 8 LogProb: -10.743672077798989
Palabra: acumen Frec: 6 LogProb: -10.994986506079895
Palabra: acura Frec: 2 LogProb: -11.8422843664671
Palabra: acutas Frec: 10 LogProb: -10.543001382336838
Palabra: acv Frec: 10 LogProb: -10.543001382336838
Palabra: acvv Frec: 1 LogProb: -12.247749474575263
Palabra: acw Frec: 1 LogProb: -12.247749474575263
Palabra: acxx Frec: 3 LogProb: -11.554602294015318
Palabra: ad Frec: 14 LogProb: -10.232846454032998
Palabra: adagabbox Frec: 1 LogProb: -12.247749474575263
Palabra: adaper Frec: 1 LogProb: -12.247749474575263
Palabra: adapt Frec: 13 LogProb: -10.30183932551995
Palabra: adaptability Frec: 4 LogProb: -11.331458742701109
Palabra: adaptable Frec: 3 LogProb: -11.554602294015318
Palabra: adaptation Frec: 1 LogProb: -12.247749474575263
Palabra: adapte Frec: 1 LogProb: -12.247749474575263
Palabra: adapted Frec: 1 LogProb: -12.247749474575263
Palabra: adapter Frec: 825 LogProb: -6.224301881614231
Palabra: adapterblack Frec: 4 LogProb: -11.331458742701109
Palabra: adaptercameraprintercharger Frec: 1 LogProb: -12.247749474575263
Palabra: adaptercar Frec: 1 LogProb: -12.247749474575263
Palabra: adapterconnector Frec: 1 LogProb: -12.247749474575263
Palabra: adapterconverter Frec: 1 LogProb: -12.247749474575263
Palabra: adapterdata Frec: 1 LogProb: -12.247749474575263
Palabra: adapterensure Frec: 1 LogProb: -12.247749474575263
Palabra: adapterfeatures Frec: 1 LogProb: -12.247749474575263
Palabra: adaptergeneral Frec: 1 LogProb: -12.247749474575263
Palabra: adapteriver Frec: 1 LogProb: -12.247749474575263
Palabra: adapterkbit Frec: 1 LogProb: -12.247749474575263
Palabra: adapterkeeping Frec: 1 LogProb: -12.247749474575263
