Numero de documentos del corpus: 4070
Numero de palabras del corpus: 290337
Palabra: acnllblack Frec: 1 LogProb: -12.125244838079778
Palabra: acotton Frec: 1 LogProb: -12.125244838079778
Palabra: acquire Frec: 1 LogProb: -12.125244838079778
Palabra: acquired Frec: 2 LogProb: -11.719779729971615
Palabra: acquires Frec: 1 LogProb: -12.125244838079778
Palabra: acro Frec: 5 LogProb: -11.02663254941167
Palabra: acrylic Frec: 38 LogProb: -9.154830372510077
Palabra: acrylicsize Frec: 1 LogProb: -12.125244838079778
Palabra: acrylicweight Frec: 1 LogProb: -12.125244838079778
Palabra: act Frec: 10 LogProb: -10.420496745841353
Palabra: acting Frec: 3 LogProb: -11.432097657519833
Palabra: action Frec: 2 LogProb: -11.719779729971615
Palabra: actions Frec: 1 LogProb: -12.125244838079778
Palabra: activated Frec: 2 LogProb: -11.719779729971615
Palabra: activation Frec: 1 LogProb: -12.125244838079778
Palabra: active Frec: 78 LogProb: -8.448944166172703
Palabra: actively Frec: 4 LogProb: -11.208954106205624
Palabra: activewalk Frec: 1 LogProb: -12.125244838079778
Palabra: activewear Frec: 8 LogProb: -10.621167441303504
Palabra: activities Frec: 75 LogProb: -8.487658678353393
Palabra: activitiescomfortable Frec: 1 LogProb: -12.125244838079778
Palabra: activitiesfeatures Frec: 2 LogProb: -11.719779729971615
Palabra: activitiessportshippopgolfsun Frec: 1 LogProb: -12.125244838079778
Palabra: activity Frec: 35 LogProb: -9.234873080183613
Palabra: activityhow Frec: 1 LogProb: -12.125244838079778
Palabra: actor Frec: 1 LogProb: -12.125244838079778
Palabra: acts Frec: 7 LogProb: -10.738950476959888
Palabra: actual Frec: 120 LogProb: -8.022601473042982
Palabra: actually Frec: 4 LogProb: -11.208954106205624
Palabra: ad Frec: 6 LogProb: -10.87248186958441
Palabra: ada Frec: 6 LogProb: -10.87248186958441
Palabra: adams Frec: 1 LogProb: -12.125244838079778
Palabra: adapt Frec: 4 LogProb: -11.208954106205624
Palabra: adaptable Frec: 1 LogProb: -12.125244838079778
Palabra: adapting Frec: 1 LogProb: -12.125244838079778
Palabra: adaptive Frec: 1 LogProb: -12.125244838079778
Palabra: adapts Frec: 2 LogProb: -11.719779729971615
Palabra: adbcuks Frec: 1 LogProb: -12.125244838079778
Palabra: adbucks Frec: 7 LogProb: -10.738950476959888
Palabra: add Frec: 160 LogProb: -7.736987653655261
Palabra: added Frec: 61 LogProb: -8.691257633594633
Palabra: addgear Frec: 3 LogProb: -11.432097657519833
Palabra: addict Frec: 1 LogProb: -12.125244838079778
Palabra: addicted Frec: 1 LogProb: -12.125244838079778
Palabra: adding Frec: 33 LogProb: -9.292031494023563
Palabra: addingthis Frec: 1 LogProb: -12.125244838079778
Palabra: addition Frec: 100 LogProb: -8.203271501798465
Palabra: additiona Frec: 1 LogProb: -12.125244838079778
Palabra: additional Frec: 20 LogProb: -9.773869580916301
Palabra: additionally Frec: 4 LogProb: -11.208954106205624
Palabra: addon Frec: 4 LogProb: -11.208954106205624
Palabra: addressing Frec: 1 LogProb: -12.125244838079778
Palabra: adds Frec: 55 LogProb: -8.793040327904574
Palabra: addy Frec: 1 LogProb: -12.125244838079778
Palabra: addys Frec: 1 LogProb: -12.125244838079778
Palabra: adequate Frec: 2 LogProb: -11.719779729971615
Palabra: adequately Frec: 1 LogProb: -12.125244838079778
Palabra: adhere Frec: 2 LogProb: -11.719779729971615
Palabra: adheres Frec: 2 LogProb: -11.719779729971615
Palabra: adhering Frec: 1 LogProb: -12.125244838079778
Palabra: adhesive Frec: 76 LogProb: -8.47458659678604
Palabra: adhesiveness Frec: 2 LogProb: -11.719779729971615
Palabra: adhesiveperfect Frec: 1 LogProb: -12.125244838079778
